code,signal_date,buy_date,buy,sell_date,sell,pnl_pct,exit_reason,platform,signal_type,still_open,trimmed,hold_days
601360,2023-03-08,2023-03-09,10.98,2023-03-13,10.44,-5.068032786885252,E1,10.74,entry_A,False,False,4
601728,2023-03-08,2023-03-09,5.61,2023-03-28,5.53,1.0977718360071222,E1(含T1减半),5.4,entry_A,False,True,19
600039,2023-03-09,2023-03-10,7.83,2023-03-22,7.87,0.36085568326947326,E1,7.57,entry_A,False,False,12
002230,2023-04-07,2023-04-10,64.26,2023-04-11,58.64,-8.895720510426402,E1,63.29,entry_A,False,False,1
300308,2023-04-07,2023-04-10,50.47,2023-07-31,88.36,36.010095106003575,E3(含T1减半),41.87,entry_A,False,True,112
300442,2023-04-07,2023-04-10,37.24,2023-04-11,35.72,-4.231632653061229,E1,37.07,entry_A,False,False,1
601728,2023-04-07,2023-04-10,6.07,2023-05-17,5.31,-12.670593080724885,E1,5.4,entry_A,False,False,37
600028,2023-04-10,2023-04-11,4.94,2023-10-11,5.3,7.13744939271253,E2,4.67,entry_A,False,False,183
601800,2023-04-10,2023-04-11,10.49,2023-04-27,10.29,-2.0565776930410005,E1,9.99,entry_A,False,False,16
601899,2023-04-10,2023-04-11,12.03,2023-04-25,11.89,-1.313757273482946,E1,11.57,entry_A,False,False,14
000425,2023-04-11,2023-04-12,6.24,2023-04-14,6.08,-2.714102564102566,E1,6.13,entry_A,False,False,2
600584,2023-04-11,2023-04-12,34.99,2023-04-14,34.68,-1.0359674192626565,E1,34.43,entry_A,False,False,2
603019,2023-04-11,2023-04-12,40.75,2023-05-17,43.3,15.678220858895703,E3(含T1减半),38.7,entry_A,False,True,35
688008,2023-04-11,2023-04-12,73.23,2023-04-14,71.05,-3.1269220264918793,E1,71.66,entry_A,False,False,2
688111,2023-04-11,2023-04-12,423.31,2023-04-28,401.87,-5.214846093879194,E1,395.16,entry_A,False,False,16
002415,2023-04-12,2023-04-13,41.13,2023-04-17,38.94,-5.47458059810359,E1,40.3,entry_A,False,False,4
300433,2023-04-12,2023-04-13,12.94,2023-04-14,12.61,-2.70023183925811,E1,13.05,entry_A,False,False,1
300442,2023-04-12,2023-04-13,36.95,2023-04-14,35.68,-3.58707713125847,E1,37.07,entry_A,False,False,1
601138,2023-04-12,2023-04-13,16.9,2023-04-27,14.72,-7.605621301775145,E1(含T1减半),15.73,entry_A,False,True,14
688981,2023-04-12,2023-04-13,58.7,2023-04-27,57.3,-2.5350085178875768,E1,56.66,entry_A,False,False,14
601601,2023-04-13,2023-04-14,25.2,2023-04-17,24.72,-2.054761904761909,E1,25.03,entry_A,False,False,3
300033,2023-04-14,2023-04-17,132.31,2023-04-25,129.24,-0.9322537978988686,E1(含T1减半),131.44,entry_A,False,True,8
000425,2023-04-17,2023-04-18,6.32,2023-04-25,6.13,-3.1563291139240555,E1,6.13,entry_A,False,False,7
600941,2023-04-17,2023-04-18,88.22,2023-04-27,82.88,-6.203049195193838,E1,85.24,entry_A,False,False,9
002236,2023-04-18,2023-04-19,21.82,2023-04-25,21.04,-1.0665902841429873,E1(含T1减半),20.06,entry_A,False,True,6
000977,2023-04-20,2023-04-21,41.49,2023-04-28,38.15,-8.200132562063152,E1,42.73,entry_A,False,False,7
002602,2023-04-20,2023-04-21,6.7,2023-04-24,6.39,-4.776865671641801,E1,6.5,entry_A,False,False,3
600958,2023-04-20,2023-04-21,10.5,2023-04-24,10.06,-4.340476190476189,E1,10.49,entry_A,False,False,3
688008,2023-04-20,2023-04-21,75.0,2023-04-24,70.78,-5.776666666666669,E1,71.66,entry_A,False,False,3
000157,2023-08-03,2023-08-04,6.23,2023-08-10,5.99,-4.00232744783307,E1,6.06,entry_A,False,False,6
600674,2023-08-10,2023-08-11,14.28,2023-08-14,14.12,-1.2704481792717046,E1,14.26,entry_A,False,False,3
601336,2023-08-10,2023-08-11,41.01,2023-08-22,38.1,-7.245830285296257,E1,38.75,entry_A,False,False,11
601985,2023-08-10,2023-08-11,7.09,2023-08-14,6.88,-3.111918194640334,E1,7.06,entry_A,False,False,3
601688,2023-08-15,2023-08-16,16.1,2023-08-22,15.31,-5.056832298136655,E1,15.59,entry_A,False,False,6
601985,2023-08-15,2023-08-16,7.06,2023-08-17,6.91,-2.2746458923512622,E1,7.06,entry_A,False,False,1
000157,2024-02-20,2024-02-21,7.26,2024-05-30,7.18,-1.2519283746556473,E1,6.67,entry_A,False,False,99
000895,2024-02-20,2024-02-21,25.98,2024-02-29,25.52,-1.920592763664358,E1,25.64,entry_A,False,False,8
600015,2024-02-20,2024-02-21,5.46,2024-08-13,5.74,4.978205128205132,E2,5.2,entry_A,False,False,174
600025,2024-02-20,2024-02-21,8.8,2024-03-25,8.74,-0.8318181818181835,E1,8.46,entry_A,False,False,33
600660,2024-02-20,2024-02-21,37.44,2024-08-02,40.07,6.874572649572658,E2,36.07,entry_A,False,False,163
600795,2024-02-20,2024-02-21,4.32,2024-09-06,4.93,13.970370370370349,E2,4.09,entry_A,False,False,198
600886,2024-02-20,2024-02-21,14.0,2024-08-30,15.11,7.778571428571418,E2,13.23,entry_A,False,False,191
601169,2024-02-20,2024-02-21,4.63,2024-09-02,4.99,7.62537796976242,E2,4.59,entry_A,False,False,194
601225,2024-02-20,2024-02-21,21.78,2024-07-23,21.69,-0.5632231404958664,E1,19.55,entry_A,False,False,153
601288,2024-02-20,2024-02-21,3.63,2024-03-14,3.61,-0.7009641873278293,E1,3.52,entry_A,False,False,22
601328,2024-02-20,2024-02-21,5.59,2024-09-10,6.25,11.656797853309492,E2,5.35,entry_A,False,False,202
601398,2024-02-20,2024-02-21,4.67,2024-02-27,4.64,-0.7923982869379064,E1,4.63,entry_A,False,False,6
601919,2024-02-20,2024-02-21,8.53,2024-03-20,8.5,-0.5016998827666984,E1,8.4,entry_A,False,False,28
601939,2024-02-20,2024-02-21,6.29,2024-02-27,6.15,-2.375755166931631,E1,6.23,entry_A,False,False,6
601988,2024-02-20,2024-02-21,4.04,2024-03-20,3.82,-5.595544554455451,E1,3.86,entry_A,False,False,28
001965,2024-02-22,2024-02-23,10.07,2024-02-27,9.49,-5.909682224428997,E1,9.76,entry_A,False,False,4
003816,2024-02-22,2024-02-23,3.8,2024-09-09,4.09,7.481578947368411,E2,3.51,entry_A,False,False,199
600160,2024-02-22,2024-02-23,19.03,2024-03-13,18.64,-2.1993956910141885,E1,18.31,entry_A,False,False,19
601825,2024-02-22,2024-02-23,5.52,2024-02-27,5.4,-2.3239130434782482,E1,5.44,entry_A,False,False,4
601898,2024-02-22,2024-02-23,12.03,2024-03-12,10.88,-9.709434746467155,E1,11.07,entry_A,False,False,18
601985,2024-02-22,2024-02-23,8.46,2024-09-12,9.44,11.43392434988178,E2,7.99,entry_A,False,False,202
000039,2024-02-23,2024-02-26,8.58,2024-02-27,8.32,-3.1803030303030275,E1,8.49,entry_A,False,False,1
600377,2024-02-27,2024-02-28,11.01,2024-03-13,10.65,-3.4197547683923633,E1,10.78,entry_A,False,False,14
601699,2024-02-27,2024-02-28,22.82,2024-03-13,21.64,-5.320902716914983,E1,22.28,entry_A,False,False,14
601857,2024-02-27,2024-02-28,7.71,2024-07-26,8.18,5.945979247730221,E2,7.12,entry_A,False,False,149
601398,2024-02-28,2024-02-29,4.65,2024-03-13,4.54,-2.5155913978494646,E1,4.63,entry_A,False,False,13
002463,2024-02-29,2024-03-01,25.47,2024-08-06,30.65,20.18765213977228,E2,24.99,entry_A,False,False,158
600938,2024-02-29,2024-03-01,22.93,2024-08-06,25.26,10.011360662887064,E2,20.96,entry_A,False,False,158
601825,2024-02-29,2024-03-01,5.46,2024-03-04,5.4,-1.248901098901095,E1,5.44,entry_A,False,False,3
601939,2024-02-29,2024-03-01,6.2,2024-03-05,6.19,-0.3112903225806428,E1,6.23,entry_A,False,False,4
001965,2024-03-01,2024-03-04,9.7,2024-03-13,9.58,-1.3871134020618512,E1,9.76,entry_A,False,False,9
600188,2024-03-01,2024-03-04,17.44,2024-03-13,16.38,-6.227981651376163,E1,16.86,entry_A,False,False,9
000895,2024-03-04,2024-03-05,25.6,2024-03-11,25.55,-0.3453125,E1,25.64,entry_A,False,False,6
000983,2024-03-04,2024-03-05,10.52,2024-03-11,10.45,-0.8153992395437292,E1,10.45,entry_A,False,False,6
601088,2024-03-05,2024-03-06,34.7,2024-08-07,35.24,1.4061959654178726,E2,29.35,entry_A,False,False,154
601825,2024-03-05,2024-03-06,5.45,2024-03-07,5.42,-0.7004587155963359,E1,5.44,entry_A,False,False,1
000039,2024-03-06,2024-03-07,9.11,2024-03-13,8.39,-8.053402854006569,E1,8.74,entry_A,False,False,6
601939,2024-03-07,2024-03-08,6.3,2024-03-13,6.09,-3.4833333333333325,E1,6.23,entry_A,False,False,5
000100,2024-03-08,2024-03-11,4.5,2024-03-25,4.25,-5.705555555555558,E1,4.31,entry_A,False,False,14
601825,2024-03-08,2024-03-11,5.46,2024-03-12,5.4,-1.248901098901095,E1,5.44,entry_A,False,False,1
001965,2024-03-14,2024-03-15,9.74,2024-03-18,9.71,-0.45800821355235766,E1,9.76,entry_A,False,False,3
600160,2024-03-14,2024-03-15,18.73,2024-07-17,21.02,12.076374799786432,E2,18.31,entry_A,False,False,124
601898,2024-03-15,2024-03-18,10.86,2024-03-19,10.89,0.1262430939226679,E1,11.07,entry_A,False,False,1
000039,2024-03-18,2024-03-19,8.69,2024-03-20,8.69,-0.15,E1,8.74,entry_A,False,False,1
600377,2024-03-18,2024-03-19,10.76,2024-03-20,10.74,-0.33587360594795046,E1,10.78,entry_A,False,False,1
001965,2024-03-19,2024-03-20,9.71,2024-11-01,11.23,15.503964984552004,E2,9.76,entry_A,False,False,226
601288,2024-03-20,2024-03-21,3.62,2026-01-20,6.95,91.8389502762431,E2,3.52,entry_A,False,False,670
