scope,dimension,group_value,horizon,sample_n,wins,win_rate,mean_return,median_return,mean_excess,median_excess,mean_mdd,median_mdd,p10_mdd,inference_allowed
within_one_pct,streak_group,6,1,1032,441,0.427325581395,6.35183184108e-05,-0.00239813669954,0.000854505279146,-0.00159011019872,-0.00790838552539,-0.00239813669954,-0.0225127263332,1
within_one_pct,streak_group,6,5,1032,461,0.446705426357,0.000958039763533,-0.00296861743879,0.00139724963347,-0.00182868157678,-0.0347731047944,-0.0268578902367,-0.0699099062239,1
within_one_pct,streak_group,6,10,1032,520,0.503875968992,0.00381090051543,0.00110501919567,0.00283336502363,-0.00230569285264,-0.056797158994,-0.0434817264784,-0.113669197607,1
within_one_pct,streak_group,6,20,1032,508,0.492248062016,0.00522057226919,-0.000446953430318,0.00295792498243,-0.00356155404544,-0.0885255828356,-0.0732452436541,-0.166923976608,1
within_one_pct,streak_group,7+,1,800,337,0.42125,-0.0022557776591,-0.00315760027657,-0.00132604655329,-0.00163299602541,-0.00926096302319,-0.00315760027657,-0.0266314246833,1
within_one_pct,streak_group,7+,5,800,357,0.44625,-0.00280343988817,-0.00415498123139,-0.00302267204036,-0.0048580856718,-0.0367593316689,-0.0280700372233,-0.0770134045149,1
within_one_pct,streak_group,7+,10,800,395,0.49375,-0.0015318559358,-0.00118923491616,-0.00258628972579,-0.00246589686261,-0.059151958194,-0.0454695416519,-0.115609898376,1
within_one_pct,streak_group,7+,20,800,417,0.52125,0.00811759931545,0.00413328311388,0.00436337111947,0.00209884888904,-0.0876019066773,-0.0699512018024,-0.167177167769,1
within_one_pct,volume_bucket,0_8_to_1_0,1,10295,4556,0.442544924721,-0.000488068962177,-0.00165289256198,-9.62044960169e-05,-0.00149948518015,-0.00790126211143,-0.00165289256198,-0.023506591861,1
within_one_pct,volume_bucket,0_8_to_1_0,5,10295,4795,0.465760077708,-0.000483260824198,-0.00255754475703,5.23261576892e-05,-0.00271227135805,-0.0334942333598,-0.0253863134658,-0.0711600369652,1
within_one_pct,volume_bucket,0_8_to_1_0,10,10295,4993,0.48499271491,0.0018071931098,-0.00135317997294,0.0012583527693,-0.00266086333798,-0.0545058302712,-0.0434557235421,-0.107687889999,1
within_one_pct,volume_bucket,0_8_to_1_0,20,10295,4982,0.483924235066,0.0046067446252,-0.00271739130435,0.00239009754406,-0.00388401535004,-0.0846011618973,-0.0704615384615,-0.158486102898,1
within_one_pct,volume_bucket,1_0_to_1_5,1,11444,5162,0.451066060818,0.000395421261502,-0.00117769827072,0.000237756970909,-0.00140765715196,-0.00740601224402,-0.00117769827072,-0.0222017774704,1
within_one_pct,volume_bucket,1_0_to_1_5,5,11444,5502,0.480775952464,0.00212181802903,-0.000880826426686,0.0012022950471,-0.0016711307286,-0.0321937965096,-0.0242716296558,-0.0676807377107,1
within_one_pct,volume_bucket,1_0_to_1_5,10,11444,5723,0.500087382034,0.00541333982337,0.000158697288963,0.00264005309733,-0.00243461403962,-0.0522916895415,-0.0404195545916,-0.103486173956,1
within_one_pct,volume_bucket,1_0_to_1_5,20,11444,5800,0.506815798672,0.0103380111436,0.0016501670136,0.00443740997378,-0.00278277302248,-0.0808173503665,-0.0657729367407,-0.154985436893,1
within_one_pct,volume_bucket,ge_1_5,1,3330,1506,0.452252252252,0.000730452876074,-0.000839863153266,0.000368212572655,-0.00128030397905,-0.00743446987558,-0.000839863153266,-0.0228075745638,1
within_one_pct,volume_bucket,ge_1_5,5,3330,1591,0.477777777778,0.00283369732562,-0.00118449168225,0.000959591046383,-0.00280373167184,-0.0317744291704,-0.0238095238095,-0.0679911412194,1
within_one_pct,volume_bucket,ge_1_5,10,3330,1619,0.486186186186,0.00678734627563,-0.000150693188668,0.00332402053657,-0.00367836863014,-0.0511622274928,-0.0407840969516,-0.100153710962,1
within_one_pct,volume_bucket,ge_1_5,20,3330,1590,0.477477477477,0.00767889961405,-0.0029540151503,0.00272418212747,-0.00734353361548,-0.0793597392702,-0.0666666666667,-0.149432924734,1
