params_id,chandelier_atr,cluster_hits,initial_stop_atr,weights,annual_excess,annual_return,benchmark_annual_return,ending_equity,ending_risk_pct,expectancy,max_dd,open_trades,profit_factor,reduced_risk,trades,win_rate,selected
h4-s2-c2p5-wrs_heavy,2.5,4,2.0,rs_heavy,-6.717377930949009,-2.254938798830597,4.462439132118412,426346.37937234656,0.0025,-0.9057539279707657,39.54047073282691,55,0.8533710417355541,True,1704,31.572769953051644,False
h4-s2-c2p5-wcluster_heavy,2.5,4,2.0,cluster_heavy,-5.026878290076375,-0.5644391579579633,4.462439132118412,480611.3988696181,0.0025,-0.5446901893812456,38.612013446619116,53,0.908542749546292,True,1710,31.988304093567248,False
h4-s2-c3-wbase,3.0,4,2.0,base,-3.7014479330907513,0.7609911990276608,4.462439132118412,527198.5466714575,0.0025,-0.8126257894220962,35.07622462756457,58,0.8802724422041452,True,1492,30.630026809651472,False
h4-s2-c3-wrs_heavy,3.0,4,2.0,rs_heavy,-2.024763781468053,2.437675350650359,4.462439132118412,591632.439083962,0.0025,-0.3939933660466205,34.196955002455894,55,0.9401568742251767,True,1509,30.947647448641487,False
h4-s2-c3-wcluster_heavy,3.0,4,2.0,cluster_heavy,-2.7553698323008913,1.7070692998175208,4.462439132118412,562771.8762591768,0.0025,-0.5514156551189952,36.59787089865406,56,0.9160450755426028,True,1462,31.19015047879617,False
h4-s2-c3p5-wbase,3.5,4,2.0,base,-3.66824141138149,0.7941977207369222,4.462439132118412,528413.6803924518,0.0025,-0.6115763124605731,35.671921232872705,57,0.9141867180433817,True,1382,30.246020260492042,False
h4-s2-c3p5-wrs_heavy,3.5,4,2.0,rs_heavy,-4.037019889593063,0.4254192425253489,4.462439132118412,515052.62165057665,0.0025,-0.761446695499499,36.535614427084816,55,0.8914660645132835,True,1390,29.856115107913666,False
h4-s2-c3p5-wcluster_heavy,3.5,4,2.0,cluster_heavy,-2.4817277603920607,1.9807113717263514,4.462439132118412,573436.7056194011,0.0025,-0.3094136819102706,34.292708506261754,50,0.9550034849839877,True,1360,30.808823529411768,False
h4-s2p5-c2p5-wbase,2.5,4,2.5,base,-6.227494505150732,-1.7650553730323204,4.462439132118412,441501.9398519569,0.0025,-1.2609559841156703,39.914019235772315,57,0.8035473292826965,True,1909,30.591932949188056,False
h4-s2p5-c2p5-wrs_heavy,2.5,4,2.5,rs_heavy,-6.318547568380762,-1.8561084362623492,4.462439132118412,438650.6144048241,0.0025,-1.2666869217098606,39.648679738664896,61,0.8037791408907817,True,1929,30.274753758424055,False
h4-s2p5-c2p5-wcluster_heavy,2.5,4,2.5,cluster_heavy,-5.450046748693083,-0.9876076165746706,4.462439132118412,466501.3883964776,0.0025,-0.9962232234845204,40.29003250022163,58,0.8410568945449288,True,1876,31.289978678038377,False
h4-s2p5-c3-wbase,3.0,4,2.5,base,-3.134867332905289,1.327571799213123,4.462439132118412,548263.0344565122,0.0025,-0.8421625050518817,35.98115460488862,61,0.8785221469232949,True,1606,31.07098381070984,False
h4-s2p5-c3-wrs_heavy,3.0,4,2.5,rs_heavy,-2.267635512160382,2.19480361995803,4.462439132118412,581900.9667291549,0.0025,-0.6511785264071592,34.74255623787547,64,0.9069770480829623,True,1578,31.55893536121673,False
h4-s2p5-c3-wcluster_heavy,3.0,4,2.5,cluster_heavy,-2.544570845741334,1.917868286377078,4.462439132118412,570972.287754124,0.0025,-0.6761028664303023,35.78491507267815,60,0.9001719931601199,True,1577,31.769181991122387,False
h4-s2p5-c3p5-wbase,3.5,4,2.5,base,-2.6343092721494044,1.8281298599690077,4.462439132118412,567468.8931067614,0.0025,-0.6569899331436677,36.892987611131026,66,0.911406676219168,True,1451,31.357684355616815,False
h4-s2p5-c3p5-wrs_heavy,3.5,4,2.5,rs_heavy,-2.2259877993261235,2.2364513327922886,4.462439132118412,583559.9107033638,0.0025,-0.6282309709395368,35.336998845575344,68,0.9143007167575036,True,1433,31.26308443824145,False
h4-s2p5-c3p5-wcluster_heavy,3.5,4,2.5,cluster_heavy,-1.3089997863693803,3.1534393457490317,4.462439132118412,621127.3332268766,0.0025,-0.4203329656566819,36.47512077860112,65,0.9418894213004391,True,1405,32.24199288256228,False
h4-s3-c2p5-wbase,2.5,4,3.0,base,-6.258994148613417,-1.796555016495005,4.462439132118412,440513.737586856,0.0025,-1.013819242410804,40.34333798908935,65,0.8387194472997225,True,2105,31.44893111638955,False
h4-s3-c2p5-wrs_heavy,2.5,4,3.0,rs_heavy,-6.085522611681416,-1.6230834795630034,4.462439132118412,445979.4725093064,0.0025,-1.0150091125290175,40.34210328574135,69,0.8394903729821332,True,2114,30.79470198675497,False
h4-s3-c2p5-wcluster_heavy,2.5,4,3.0,cluster_heavy,-5.79204068481447,-1.329601552696058,4.462439132118412,455358.8445775671,0.0025,-0.8209701803858538,40.81858930357317,63,0.868232258937961,True,2109,31.34186818397345,False
h4-s3-c3-wbase,3.0,4,3.0,base,-3.305518993132761,1.156920138985651,4.462439132118412,541843.9454139315,0.0025,-0.9640987566246773,39.06271448110496,61,0.8638761907598771,True,1769,30.751837196156018,False
h4-s3-c3-wrs_heavy,3.0,4,3.0,rs_heavy,-3.293275473536905,1.1691636585815068,4.462439132118412,542302.3328531911,0.0025,-0.7332599164044864,38.08465393163863,63,0.8952348190369938,True,1757,31.36027319294252,False
h4-s3-c3-wcluster_heavy,3.0,4,3.0,cluster_heavy,-4.194983047397005,0.2674560847214069,4.462439132118412,509418.7127549363,0.0025,-1.1300762438780891,41.06699642584471,62,0.8396862949853237,True,1776,30.292792792792795,False
h4-s3-c3p5-wbase,3.5,4,3.0,base,-2.0340637547082485,2.4283753774101635,4.462439132118412,591257.2532933507,0.0025,-1.0171092829875776,38.16769588202538,66,0.8674543210348177,True,1562,30.66581306017926,False
h4-s3-c3p5-wrs_heavy,3.5,4,3.0,rs_heavy,-2.9473762229575096,1.5150629091609025,4.462439132118412,555390.5594731958,0.0025,-1.1302786136124627,38.19396709926009,69,0.8534705412358987,True,1538,30.689206762028608,False
h4-s3-c3p5-wcluster_heavy,3.5,4,3.0,cluster_heavy,-2.1193047882137606,2.3431343439046515,4.462439132118412,587827.889271289,0.0025,-0.8088954840617147,39.473681639087644,66,0.8948259452278177,True,1562,30.793854033290653,False
