benchmark_equity,strategy_asset,strategy_equity,strategy_executed_target_weight,strategy_shares,trade_date
553411.24920825,510300.SH,418323.38224383263,0.25,25300,2017-09-14
554264.63160825,510300.SH,418487.5691238326,0.25,25300,2017-09-15
556398.08760825,510300.SH,418898.03632383264,0.25,25300,2017-09-18
552842.32760825,510300.SH,418213.9243238326,0.25,25300,2017-09-19
555402.47480825,510300.SH,418706.48496383266,0.25,25300,2017-09-20
555544.7052082499,510300.SH,418733.8494438326,0.25,25300,2017-09-21
553980.17080825,510300.SH,418432.84016383265,0.25,25300,2017-09-22
551704.48440825,510300.SH,417995.0084838326,0.25,25300,2017-09-25
551988.94520825,510300.SH,418049.7374438326,0.25,25300,2017-09-26
552415.63640825,510300.SH,418131.83088383265,0.25,25300,2017-09-27
553269.01880825,510300.SH,418296.01776383264,0.25,25300,2017-09-28
555118.01400825,510300.SH,418651.7560038326,0.25,25300,2017-09-29
560949.46040825,510300.SH,419773.6996838326,0.25,25300,2017-10-09
561660.61240825,510300.SH,419910.52208383265,0.25,25300,2017-10-10
563794.06840825,510300.SH,420320.9892838326,0.25,25300,2017-10-11
566211.9852082499,510300.SH,420786.1854438326,0.25,25300,2017-10-12
567349.82840825,510300.SH,421005.1012838326,0.25,25300,2017-10-13
565358.60280825,510300.SH,420621.9985638326,0.25,25300,2017-10-16
565074.1420082499,510300.SH,420567.2696038326,0.25,25300,2017-10-17
568487.67160825,510300.SH,421224.0171238326,0.25,25300,2017-10-18
566923.13720825,510300.SH,420923.0078438326,0.25,25300,2017-10-19
566638.6764082499,510300.SH,420868.2788838326,0.25,25300,2017-10-20
568345.44120825,510300.SH,421196.6526438326,0.25,25300,2017-10-23
572043.43160825,510300.SH,421908.1291238326,0.25,25300,2017-10-24
573892.4268082499,510300.SH,422263.8673638326,0.25,25300,2017-10-25
578017.10840825,510300.SH,423057.43728383264,0.25,25300,2017-10-26
580861.71640825,510300.SH,423604.7268838326,0.25,25300,2017-10-27
578301.56920825,510300.SH,423112.1662438326,0.25,25300,2017-10-30
577874.87800825,510300.SH,423030.0728038326,0.25,25300,2017-10-31
575883.6524082499,510300.SH,422646.9700838326,0.25,25300,2017-11-01
576879.26520825,,422563.89152255264,0.0,0,2017-11-02
575314.7308082499,,422563.89152255264,0.0,0,2017-11-03
580435.02520825,,422563.89152255264,0.0,0,2017-11-06
586124.2412082499,,422563.89152255264,0.0,0,2017-11-07
584844.1676082499,,422563.89152255264,0.0,0,2017-11-08
589253.3100082501,,422563.89152255264,0.0,0,2017-11-09
594515.83480825,,422563.89152255264,0.0,0,2017-11-10
595795.9084082498,510300.SH,422686.4957497526,0.25,23300,2017-11-13
591244.53560825,510300.SH,421880.05478975264,0.25,23300,2017-11-14
586977.62360825,510300.SH,421124.0163897527,0.25,23300,2017-11-15
592524.60920825,510300.SH,422106.8663097527,0.25,23300,2017-11-16
593235.76120825,,421851.86715807265,0.0,0,2017-11-17
597929.3644082501,,421851.86715807265,0.0,0,2017-11-20
609734.4876082499,,421851.86715807265,0.0,0,2017-11-21
609592.25720825,,421851.86715807265,0.0,0,2017-11-22
590248.92280825,,421851.86715807265,0.0,0,2017-11-23
590817.84440825,,421851.86715807265,0.0,0,2017-11-24
581288.40760825,,421851.86715807265,0.0,0,2017-11-27
583990.78520825,,421851.86715807265,0.0,0,2017-11-28
583421.8636082499,,421851.86715807265,0.0,0,2017-11-29
576737.03480825,,421851.86715807265,0.0,0,2017-11-30
577163.72600825,,421851.86715807265,0.0,0,2017-12-01
579581.6428082499,,421851.86715807265,0.0,0,2017-12-04
583137.4028082499,,421851.86715807265,0.0,0,2017-12-05
578728.2604082499,,421851.86715807265,0.0,0,2017-12-06
572185.66200825,,421851.86715807265,0.0,0,2017-12-07
577732.64760825,,421851.86715807265,0.0,0,2017-12-08
587262.08440825,,421851.86715807265,0.0,0,2017-12-11
578017.10840825,,421851.86715807265,0.0,0,2017-12-12
