population,signal_date,ts_code,streak,gain_bucket,horizon,target_date,price_date,gross_return,net_return,status
s7_control,2016-09-05,600036.SH,2,le_1_5,3,2016-09-08,2016-09-08,-0.011733333333333262,-0.013233333333333262,valid
s7_control,2016-09-05,600036.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.04533333333333345,-0.04683333333333345,valid
s7_control,2016-09-05,600036.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.0464,-0.0479,valid
s7_control,2016-09-05,600036.SH,3,le_1_5,1,2016-09-06,2016-09-06,-0.012799999999999923,-0.014299999999999922,valid
s7_control,2016-09-05,600036.SH,3,le_1_5,3,2016-09-08,2016-09-08,-0.011733333333333262,-0.013233333333333262,valid
s7_control,2016-09-05,600036.SH,3,le_1_5,5,2016-09-12,2016-09-12,-0.04533333333333345,-0.04683333333333345,valid
s7_control,2016-09-05,600036.SH,3,le_1_5,10,2016-09-21,2016-09-21,-0.0464,-0.0479,valid
s7_control,2016-09-05,600188.SH,2,gt_1_5,1,2016-09-06,2016-09-06,0.013765182186234792,0.012265182186234793,valid
s7_control,2016-09-05,600188.SH,2,gt_1_5,3,2016-09-08,2016-09-08,0.011336032388663986,0.009836032388663986,valid
s7_control,2016-09-05,600188.SH,2,gt_1_5,5,2016-09-12,2016-09-12,-0.07854251012145741,-0.08004251012145741,valid
s7_control,2016-09-05,600188.SH,2,gt_1_5,10,2016-09-21,2016-09-21,-0.07125506072874488,-0.07275506072874488,valid
s7_control,2016-09-05,600398.SH,2,gt_1_5,1,2016-09-06,2016-09-06,-0.0008741258741258306,-0.0023741258741258307,valid
s7_control,2016-09-05,600398.SH,2,gt_1_5,3,2016-09-08,2016-09-08,-0.00961538461538447,-0.01111538461538447,valid
s7_control,2016-09-05,600398.SH,2,gt_1_5,5,2016-09-12,2016-09-12,-0.037587412587412494,-0.039087412587412496,valid
s7_control,2016-09-05,600398.SH,2,gt_1_5,10,2016-09-21,2016-09-21,-0.05069930069930073,-0.05219930069930073,valid
s7_control,2016-09-05,600585.SH,2,le_1_5,1,2016-09-06,2016-09-06,0.01045903544450888,0.00895903544450888,valid
s7_control,2016-09-05,600585.SH,2,le_1_5,3,2016-09-08,2016-09-08,0.03428239395700183,0.03278239395700183,valid
s7_control,2016-09-05,600585.SH,2,le_1_5,5,2016-09-12,2016-09-12,0.000581057524694728,-0.000918942475305272,valid
s7_control,2016-09-05,600585.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.03253922138291698,-0.034039221382916984,valid
s7_control,2016-09-05,600606.SH,2,le_1_5,1,2016-09-06,2016-09-06,0.004210526315789442,0.0027105263157894423,valid
s7_control,2016-09-05,600606.SH,2,le_1_5,3,2016-09-08,2016-09-08,-0.0052631578947367474,-0.006763157894736747,valid
s7_control,2016-09-05,600606.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.034736842105263066,-0.03623684210526307,valid
s7_control,2016-09-05,600606.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.01894736842105249,-0.020447368421052492,valid
s7_control,2016-09-05,600705.SH,2,le_1_5,1,2016-09-06,2016-09-06,0.02164502164502169,0.020145021645021688,valid
s7_control,2016-09-05,600705.SH,2,le_1_5,3,2016-09-08,2016-09-08,-0.017316017316017396,-0.018816017316017397,valid
s7_control,2016-09-05,600705.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.04761904761904767,-0.04911904761904767,valid
s7_control,2016-09-05,600705.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.06204906204906202,-0.06354906204906202,valid
s7_control,2016-09-05,600837.SH,2,le_1_5,1,2016-09-06,2016-09-06,-0.005660377358490565,-0.007160377358490564,valid
s7_control,2016-09-05,600837.SH,2,le_1_5,3,2016-09-08,2016-09-08,-0.0006289308176099517,-0.0021289308176099518,valid
s7_control,2016-09-05,600837.SH,2,le_1_5,5,2016-09-12,2016-09-12,0.010062893081761004,0.008562893081761004,valid
s7_control,2016-09-05,600837.SH,2,le_1_5,10,2016-09-21,2016-09-21,0.0031446540880502027,0.0016446540880502027,valid
s7_control,2016-09-05,600871.SH,2,le_1_5,1,2016-09-06,2016-09-06,0.0025839793281654533,0.0010839793281654533,valid
s7_control,2016-09-05,600871.SH,2,le_1_5,3,2016-09-08,2016-09-08,0.007751937984496138,0.006251937984496138,valid
s7_control,2016-09-05,600871.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.0025839793281653423,-0.004083979328165342,valid
s7_control,2016-09-05,600871.SH,2,le_1_5,10,2016-09-21,2016-09-21,0.0025839793281654533,0.0010839793281654533,valid
s7_control,2016-09-05,600871.SH,3,le_1_5,1,2016-09-06,2016-09-06,0.0025839793281654533,0.0010839793281654533,valid
s7_control,2016-09-05,600871.SH,3,le_1_5,3,2016-09-08,2016-09-08,0.007751937984496138,0.006251937984496138,valid
s7_control,2016-09-05,600871.SH,3,le_1_5,5,2016-09-12,2016-09-12,-0.0025839793281653423,-0.004083979328165342,valid
s7_control,2016-09-05,600871.SH,3,le_1_5,10,2016-09-21,2016-09-21,0.0025839793281654533,0.0010839793281654533,valid
s7_control,2016-09-05,601088.SH,2,le_1_5,1,2016-09-06,2016-09-06,-0.0026385224274407815,-0.004138522427440781,valid
s7_control,2016-09-05,601088.SH,2,le_1_5,3,2016-09-08,2016-09-08,-0.0026385224274407815,-0.004138522427440781,valid
s7_control,2016-09-05,601088.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.0026385224274407815,-0.004138522427440781,valid
s7_control,2016-09-05,601088.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.01121372031662271,-0.01271372031662271,valid
s7_control,2016-09-05,601169.SH,2,le_1_5,1,2016-09-06,2016-09-06,0.0033039647577091102,0.0018039647577091102,valid
s7_control,2016-09-05,601169.SH,2,le_1_5,3,2016-09-08,2016-09-08,0.009911894273127775,0.008411894273127775,valid
s7_control,2016-09-05,601169.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.0033039647577092213,-0.004803964757709221,valid
s7_control,2016-09-05,601169.SH,2,le_1_5,10,2016-09-21,2016-09-21,0.0022026431718060735,0.0007026431718060735,valid
s7_control,2016-09-05,601169.SH,3,le_1_5,1,2016-09-06,2016-09-06,0.0033039647577091102,0.0018039647577091102,valid
s7_control,2016-09-05,601169.SH,3,le_1_5,3,2016-09-08,2016-09-08,0.009911894273127775,0.008411894273127775,valid
s7_control,2016-09-05,601169.SH,3,le_1_5,5,2016-09-12,2016-09-12,-0.0033039647577092213,-0.004803964757709221,valid
s7_control,2016-09-05,601169.SH,3,le_1_5,10,2016-09-21,2016-09-21,0.0022026431718060735,0.0007026431718060735,valid
s7_control,2016-09-05,601238.SH,2,le_1_5,1,2016-09-06,2016-09-06,0.011140819964349236,0.009640819964349236,valid
s7_control,2016-09-05,601238.SH,2,le_1_5,3,2016-09-08,2016-09-08,0.03609625668449179,0.03459625668449179,valid
s7_control,2016-09-05,601238.SH,2,le_1_5,5,2016-09-12,2016-09-12,0.031194295900178304,0.029694295900178302,valid
s7_control,2016-09-05,601238.SH,2,le_1_5,10,2016-09-21,2016-09-21,0.017825311942959,0.016325311942958998,valid
s7_control,2016-09-05,601318.SH,2,le_1_5,1,2016-09-06,2016-09-06,0.010932105868814768,0.009432105868814768,valid
s7_control,2016-09-05,601318.SH,2,le_1_5,3,2016-09-08,2016-09-08,0.017836593785960808,0.016336593785960807,valid
s7_control,2016-09-05,601318.SH,2,le_1_5,5,2016-09-12,2016-09-12,0.010356731875719172,0.008856731875719172,valid
s7_control,2016-09-05,601318.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.0025891829689297374,-0.004089182968929737,valid
s7_control,2016-09-05,601318.SH,3,le_1_5,1,2016-09-06,2016-09-06,0.010932105868814768,0.009432105868814768,valid
s7_control,2016-09-05,601318.SH,3,le_1_5,3,2016-09-08,2016-09-08,0.017836593785960808,0.016336593785960807,valid
s7_control,2016-09-05,601318.SH,3,le_1_5,5,2016-09-12,2016-09-12,0.010356731875719172,0.008856731875719172,valid
s7_control,2016-09-05,601318.SH,3,le_1_5,10,2016-09-21,2016-09-21,-0.0025891829689297374,-0.004089182968929737,valid
s7_control,2016-09-05,601377.SH,2,le_1_5,1,2016-09-06,2016-09-06,0.0062893081761006275,0.004789308176100628,valid
s7_control,2016-09-05,601377.SH,2,le_1_5,3,2016-09-08,2016-09-08,-0.0037735849056602655,-0.005273584905660265,valid
s7_control,2016-09-05,601377.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.03270440251572326,-0.034204402515723265,valid
s7_control,2016-09-05,601377.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.03647798742138364,-0.03797798742138364,valid
s7_control,2016-09-05,601398.SH,2,le_1_5,1,2016-09-06,2016-09-06,-0.015452538631346657,-0.01695253863134666,valid
s7_control,2016-09-05,601398.SH,2,le_1_5,3,2016-09-08,2016-09-08,-0.008830022075055233,-0.010330022075055232,valid
s7_control,2016-09-05,601398.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.017660044150110465,-0.019160044150110467,valid
s7_control,2016-09-05,601398.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.026490066225165587,-0.02799006622516559,valid
s7_control,2016-09-05,601901.SH,2,le_1_5,1,2016-09-06,2016-09-06,-0.0013054830287205776,-0.0028054830287205777,valid
s7_control,2016-09-05,601901.SH,2,le_1_5,3,2016-09-08,2016-09-08,-0.013054830287206332,-0.014554830287206331,valid
s7_control,2016-09-05,601901.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.037859007832898084,-0.039359007832898085,valid
s7_control,2016-09-05,601901.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.03916449086161877,-0.040664490861618774,valid
s7_control,2016-09-05,601939.SH,2,le_1_5,1,2016-09-06,2016-09-06,-0.0018832391713746732,-0.0033832391713746733,valid
s7_control,2016-09-05,601939.SH,2,le_1_5,3,2016-09-08,2016-09-08,-0.005649717514124131,-0.00714971751412413,valid
s7_control,2016-09-05,601939.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.02824858757062143,-0.029748587570621432,valid
s7_control,2016-09-05,601939.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.026365348399246535,-0.027865348399246537,valid
s7_control,2016-09-05,601939.SH,3,le_1_5,1,2016-09-06,2016-09-06,-0.0018832391713746732,-0.0033832391713746733,valid
s7_control,2016-09-05,601939.SH,3,le_1_5,3,2016-09-08,2016-09-08,-0.005649717514124131,-0.00714971751412413,valid
s7_control,2016-09-05,601939.SH,3,le_1_5,5,2016-09-12,2016-09-12,-0.02824858757062143,-0.029748587570621432,valid
s7_control,2016-09-05,601939.SH,3,le_1_5,10,2016-09-21,2016-09-21,-0.026365348399246535,-0.027865348399246537,valid
s7_control,2016-09-05,603993.SH,2,le_1_5,1,2016-09-06,2016-09-06,0.0024937655860348684,0.0009937655860348684,valid
s7_control,2016-09-05,603993.SH,2,le_1_5,3,2016-09-08,2016-09-08,-0.004987531172069737,-0.0064875311720697364,valid
s7_control,2016-09-05,603993.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.03491271820448871,-0.036412718204488714,valid
s7_control,2016-09-05,603993.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.0448877805486283,-0.0463877805486283,valid
s7_control,2016-09-21,000063.SZ,2,le_1_5,1,2016-09-22,2016-09-22,0.0033783783783782884,0.0018783783783782883,valid
s7_control,2016-09-21,000063.SZ,2,le_1_5,3,2016-09-26,2016-09-26,-0.018918918918918948,-0.02041891891891895,valid
s7_control,2016-09-21,000063.SZ,2,le_1_5,5,2016-09-28,2016-09-28,-0.006756756756756799,-0.008256756756756798,valid
s7_control,2016-09-21,000063.SZ,2,le_1_5,10,2016-10-12,2016-10-12,0.013513513513513598,0.012013513513513598,valid
s7_control,2016-09-21,000063.SZ,3,le_1_5,1,2016-09-22,2016-09-22,0.0033783783783782884,0.0018783783783782883,valid
s7_control,2016-09-21,000063.SZ,3,le_1_5,3,2016-09-26,2016-09-26,-0.018918918918918948,-0.02041891891891895,valid
s7_control,2016-09-21,000063.SZ,3,le_1_5,5,2016-09-28,2016-09-28,-0.006756756756756799,-0.008256756756756798,valid
s7_control,2016-09-21,000063.SZ,3,le_1_5,10,2016-10-12,2016-10-12,0.013513513513513598,0.012013513513513598,valid
s7_control,2016-09-21,000783.SZ,2,le_1_5,1,2016-09-22,2016-09-22,0.0009433962264151496,-0.0005566037735848504,valid
s7_control,2016-09-21,000783.SZ,2,le_1_5,3,2016-09-26,2016-09-26,-0.02075471698113196,-0.02225471698113196,valid
s7_control,2016-09-21,000783.SZ,2,le_1_5,5,2016-09-28,2016-09-28,-0.013207547169811207,-0.014707547169811206,valid
s7_control,2016-09-21,000783.SZ,2,le_1_5,10,2016-10-12,2016-10-12,0.005660377358490676,0.004160377358490676,valid
s7_control,2016-09-21,000783.SZ,3,le_1_5,1,2016-09-22,2016-09-22,0.0009433962264151496,-0.0005566037735848504,valid
s7_control,2016-09-21,000783.SZ,3,le_1_5,3,2016-09-26,2016-09-26,-0.02075471698113196,-0.02225471698113196,valid
s7_control,2016-09-21,000783.SZ,3,le_1_5,5,2016-09-28,2016-09-28,-0.013207547169811207,-0.014707547169811206,valid
s7_control,2016-09-21,000783.SZ,3,le_1_5,10,2016-10-12,2016-10-12,0.005660377358490676,0.004160377358490676,valid
s7_control,2016-09-21,000858.SZ,2,le_1_5,1,2016-09-22,2016-09-22,0.024479804161566587,0.022979804161566586,valid
